"HEADER_NAME","HEADER_VALUE"
"MA0006","8.31241921267337e-16"
"MA0007","2.13643444257141e-15"
"MA0008","5.89425652970691e-16"
"MA0009","1.07784100424073e-15"
"MA0010","1.23580078729412e-14"
"MA0011","1.33153625545997e-15"
"MA0012","1.93177578518292e-16"
"MA0013","1.79700489450745e-15"
"MA0014","1.10064567957507e-15"
"MA0015","4.6783074183509e-15"
"MA0016","3.41158682619381e-15"
"MA0017","2.08150639646974e-16"
"MA0018","2.00892773665113e-16"
"MA0019","1.03564484013119e-15"
"MA0020","9.19980747763091e-17"
"MA0021","2.529442872041e-16"
"MA0022","1.20262444348346e-15"
"MA0023","1.89533176041978e-16"
"MA0024","1.89390166752538e-15"
"MA0025","7.23984152236621e-17"
"MA0026","1.63734395226108e-16"
"MA0027","3.88800389854579e-16"
"MA0028","2.92627274429453e-16"
"MA0029","1.97584236512452e-15"
"MA0030","1.48201901643753e-16"
"MA0031","6.3432804736486e-15"
"MA0032","1.19958501623344e-16"
"MA0034","2.94454129152129e-16"
"MA0035","2.35225617324184e-16"
"MA0036","1.69706001840971e-16"
"MA0037","2.18562057711306e-16"
"MA0038","1.32328596474677e-16"
"MA0039","1.4975196825567e-15"
"MA0040","2.95241408030842e-16"
"MA0041","9.32422376219887e-16"
"MA0042","2.76531664347438e-16"
"MA0043","7.27539385334071e-17"
"MA0044","4.68864072012922e-17"
"MA0045","8.42567801856793e-16"
"MA0046","3.2728e-16"
"MA0047","5.54352356159889e-16"
"MA0048","2.53109172601507e-15"
"MA0049","7.5494816293144e-17"
"MA0050","1.63332639111752e-16"
"MA0051","2.57054911335314e-16"
"MA0052","2.47678810125587e-15"
"MA0053","6.23924331077516e-17"
"MA0054","5.62417365019246e-16"
"MA0056","3.69928831270213e-16"
"MA0057","3.68060192063965e-16"
"MA0058","8.481173911466e-17"
"MA0059","6.33944272758765e-16"
"MA0060","5.09113678301446e-17"
"MA0062","1.08904819196006e-16"
"MA0063","5.64040174397624e-17"
"MA0065","3.18065928265254e-15"
"MA0068","3.43102659123797e-16"
"MA0069","5.14461002087674e-16"
"MA0070","2.76888884015785e-16"
"MA0071","1.42449274635096e-16"
"MA0072","7.99505104491654e-17"
"MA0074","3.50737445129561e-16"
"MA0075","4.35737462507713e-17"
"MA0076","8.3122e-16"
"MA0077","4.93129550950073e-17"
"MA0078","8.40190625346389e-17"
"MA0079","8.35182433140794e-17"
"MA0080","1.16144395411311e-16"
"MA0081","1.02236755455613e-16"
"MA0082","6.60126076693077e-17"
"MA0083","1.09683489062604e-16"
"MA0084","1.25731265563189e-16"
"MA0085","9.25408545301854e-16"
"MA0086","2.15239955702289e-16"
"MA0087","2.19929517357407e-15"
"MA0088","2.57711412731105e-15"
"MA0089","3.40203115743943e-16"
"MA0090","1.23519636282849e-16"
"MA0091","2.44046167770101e-16"
"MA0092","4.03694351768607e-16"
"MA0093","5.64773071797648e-16"
"MA0094","1.27923e-15"
"MA0095","2.71661970839326e-16"
"MA0096","1.54656769562433e-15"
